Id,ORIG_FID,STATE_ROUT,pos,X,Y,pro_X,pro_Y,Index,Elevation
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.49620000000,41.49600000000,375114.00000000000,4594900.00000000000,825,39709
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.48810000000,41.49600000000,375788.00000000000,4594890.00000000000,826,38491
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.48000000000,41.49590000000,376463.00000000000,4594870.00000000000,827,36218
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.47200000000,41.49590000000,377138.00000000000,4594850.00000000000,828,37495
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.46390000000,41.49580000000,377812.00000000000,4594840.00000000000,829,38851
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.45580000000,41.49580000000,378487.00000000000,4594820.00000000000,830,40232
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.44770000000,41.49580000000,379162.00000000000,4594810.00000000000,831,40027
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.45070000000,41.49600000000,378912.00000000000,4594840.00000000000,1493,40119
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.45880000000,41.49600000000,378237.00000000000,4594850.00000000000,1494,39752
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.46690000000,41.49600000000,377563.00000000000,4594860.00000000000,1495,38350
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.47500000000,41.49610000000,376888.00000000000,4594880.00000000000,1496,36990
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.48300000000,41.49620000000,376213.00000000000,4594900.00000000000,1497,37203
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.49110000000,41.49620000000,375539.00000000000,4594910.00000000000,1498,39241
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.49920000000,41.49620000000,374864.00000000000,4594930.00000000000,1499,39052
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.50730000000,41.49630000000,374189.00000000000,4594950.00000000000,1500,38298
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.51540000000,41.49630000000,373515.00000000000,4594960.00000000000,1501,39526
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.43960000000,41.49580000000,379837.00000000000,4594800.00000000000,832,39268
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.43150000000,41.49580000000,380511.00000000000,4594780.00000000000,833,39319
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.42350000000,41.49580000000,381186.00000000000,4594780.00000000000,834,39123
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.41540000000,41.49580000000,381861.00000000000,4594770.00000000000,835,39060
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.40730000000,41.49590000000,382536.00000000000,4594760.00000000000,836,37897
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.39920000000,41.49590000000,383210.00000000000,4594750.00000000000,837,38061
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.39110000000,41.49590000000,383885.00000000000,4594740.00000000000,838,36663
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.38300000000,41.49590000000,384560.00000000000,4594730.00000000000,839,37971
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.37500000000,41.49600000000,385235.00000000000,4594730.00000000000,840,38079
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.37800000000,41.49620000000,384985.00000000000,4594750.00000000000,1484,38067
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.38600000000,41.49610000000,384310.00000000000,4594760.00000000000,1485,37491
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.39410000000,41.49610000000,383635.00000000000,4594770.00000000000,1486,36777
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.40220000000,41.49610000000,382961.00000000000,4594780.00000000000,1487,38227
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.41030000000,41.49600000000,382286.00000000000,4594790.00000000000,1488,38209
